time,reading
1688276451.1342947,0
1688276451.1354628,0
1688276451.1365492,0
1688276451.137627,0
1688276451.1387029,0
1688276451.139778,0
1688276451.1408515,0
1688276451.1419258,0
1688276451.1430013,0
1688276451.1440756,0
1688276451.145149,0
1688276451.1462233,0
1688276451.1472976,0
1688276451.1483712,0
1688276451.1494446,0
1688276451.150519,0
1688276451.1515932,0
1688276451.1526668,0
1688276451.1537416,0
1688276451.1548169,0
1688276451.1558912,0
1688276451.1569486,0
1688276451.158023,0
1688276451.1590967,0
1688276451.1601715,0
1688276451.1612456,0
1688276451.1623201,0
1688276451.1633942,0
1688276451.1644685,0
1688276451.165542,0
1688276451.166616,0
1688276451.1676898,0
1688276451.168764,0
1688276451.1698403,0
1688276451.1709173,0
1688276451.1719933,0
1688276451.1730702,0
1688276451.174146,0
1688276451.1752212,0
1688276451.1762965,0
1688276451.1773736,0
1688276451.178449,0
1688276451.179524,0
1688276451.1805987,0
1688276451.1816752,0
1688276451.1827507,0
1688276451.183826,0
1688276451.1849008,0
1688276451.185977,0
1688276451.1870522,0
1688276451.1881275,0
1688276451.1892037,0
1688276451.1902807,0
1688276451.1913564,0
1688276451.192432,0
1688276451.1935077,0
1688276451.194583,0
1688276451.1956582,0
1688276451.1967335,0
1688276451.1978095,0
1688276451.198885,0
1688276451.1999595,0
1688276451.2010355,0
1688276451.2021108,0
1688276451.2031865,0
1688276451.2042615,0
1688276451.2053373,0
1688276451.2064126,0
1688276451.2074878,0
1688276451.2085626,0
1688276451.2096388,0
1688276451.2107408,0
1688276451.2118626,0
1688276451.212957,0
1688276451.214051,0
1688276451.215127,0
1688276451.2162035,0
1688276451.2172801,0
1688276451.2183557,0
1688276451.2194312,0
1688276451.2205064,0
1688276451.2215827,0
1688276451.2226584,0
1688276451.2237337,0
1688276451.2248106,0
1688276451.225887,0
1688276451.226962,0
1688276451.2280376,0
1688276451.22913,0
1688276451.2302375,0
1688276451.2313318,0
1688276451.2324228,0
1688276451.233504,0
1688276451.2345808,0
1688276451.2356606,0
1688276451.2367566,0
1688276451.2378724,0
1688276451.2389774,0
1688276451.2400649,0
1688276451.241159,0
1688276451.242235,0
1688276451.24331,0
1688276451.244385,0
1688276451.2454598,0
1688276451.2465348,0
1688276451.2476103,0
1688276451.2486854,0
1688276451.2497602,0
1688276451.2508519,0
1688276451.2519283,0
1688276451.2530034,0
1688276451.2540784,0
1688276451.2551537,0
1688276451.256229,0
1688276451.257305,0
1688276451.2583807,0
1688276451.2594557,0
1688276451.2605307,0
1688276451.2616067,0
1688276451.2626822,0
1688276451.2637572,0
1688276451.2648323,0
1688276451.2659073,0
1688276451.2669823,0
1688276451.2680578,0
1688276451.2691329,0
1688276451.2702084,0
1688276451.2712834,0
1688276451.2723627,0
1688276451.273439,0
1688276451.2745142,0
1688276451.2755907,0
1688276451.2766662,0
1688276451.277741,0
1688276451.278816,0
1688276451.279891,0
1688276451.280967,0
1688276451.282042,0
1688276451.2831168,0
1688276451.284192,0
1688276451.285268,0
1688276451.2863436,0
1688276451.2874267,0
1688276451.2885237,0
1688276451.2896101,0
1688276451.2907002,0
1688276451.2917757,0
1688276451.2928512,0
1688276451.2939339,0
1688276451.29501,0
1688276451.296085,0
1688276451.297161,0
1688276451.2982361,0
1688276451.2993114,0
1688276451.3003862,0
1688276451.301463,0
1688276451.3025396,0
1688276451.3036146,0
1688276451.30469,0
1688276451.305765,0
1688276451.3068402,0
1688276451.3079152,0
1688276451.3089914,0
1688276451.3100667,0
1688276451.311142,0
1688276451.312217,0
1688276451.313293,0
1688276451.314368,0
1688276451.3154433,0
1688276451.316518,0
1688276451.3175938,0
1688276451.3186698,0
1688276451.319749,0
1688276451.3208241,0
1688276451.3218992,0
1688276451.3229744,0
1688276451.3240497,0
1688276451.325125,0
1688276451.3262,0
1688276451.327275,0
1688276451.32835,0
1688276451.3294249,0
1688276451.3305001,0
1688276451.3315754,0
1688276451.3326504,0
1688276451.3337266,0
1688276451.3348022,0
1688276451.3358774,0
1688276451.3369536,0
1688276451.338029,0
1688276451.3391035,0
